"","format(time, ""%Y-%m"")","energy_type","sum_energy"
"1","2015-01","generation.biomass",709156
"2","2015-01","generation.fossil.brown.coal.lignite",419900
"3","2015-01","generation.fossil.coal.derived.gas",0
"4","2015-01","generation.fossil.gas",3555057
"5","2015-01","generation.fossil.hard.coal",3966456
"6","2015-01","generation.fossil.oil",224313
"7","2015-01","generation.fossil.oil.shale",0
"8","2015-01","generation.fossil.peat",0
"9","2015-01","generation.geothermal",0
"10","2015-01","generation.hydro.pumped.storage.aggregated",0
"11","2015-01","generation.hydro.pumped.storage.consumption",540028
"12","2015-01","generation.hydro.run.of.river.and.poundage",752922
"13","2015-01","generation.hydro.water.reservoir",1885525
"14","2015-01","generation.marine",0
"15","2015-01","generation.nuclear",4886156
"16","2015-01","generation.other",51404
"17","2015-01","generation.other.renewable",51794
"18","2015-01","generation.solar",828578
"19","2015-01","generation.waste",167758
"20","2015-01","generation.wind.offshore",0
"21","2015-01","generation.wind.onshore",5561782
"22","2015-02","generation.biomass",631882
"23","2015-02","generation.fossil.brown.coal.lignite",210617
"24","2015-02","generation.fossil.coal.derived.gas",0
"25","2015-02","generation.fossil.gas",3141019
"26","2015-02","generation.fossil.hard.coal",2718895
"27","2015-02","generation.fossil.oil",214529
"28","2015-02","generation.fossil.oil.shale",0
"29","2015-02","generation.fossil.peat",0
"30","2015-02","generation.geothermal",0
"31","2015-02","generation.hydro.pumped.storage.aggregated",0
"32","2015-02","generation.hydro.pumped.storage.consumption",489748
"33","2015-02","generation.hydro.run.of.river.and.poundage",779725
"34","2015-02","generation.hydro.water.reservoir",2494928
"35","2015-02","generation.marine",0
"36","2015-02","generation.nuclear",4489715
"37","2015-02","generation.other",53361
"38","2015-02","generation.other.renewable",47386
"39","2015-02","generation.solar",836321
"40","2015-02","generation.waste",143689
"41","2015-02","generation.wind.offshore",0
"42","2015-02","generation.wind.onshore",5195774
"43","2015-03","generation.biomass",695606
"44","2015-03","generation.fossil.brown.coal.lignite",181617
"45","2015-03","generation.fossil.coal.derived.gas",0
"46","2015-03","generation.fossil.gas",3428761
"47","2015-03","generation.fossil.hard.coal",3145727
"48","2015-03","generation.fossil.oil",237265
"49","2015-03","generation.fossil.oil.shale",0
"50","2015-03","generation.fossil.peat",0
"51","2015-03","generation.geothermal",0
"52","2015-03","generation.hydro.pumped.storage.aggregated",0
"53","2015-03","generation.hydro.pumped.storage.consumption",444996
"54","2015-03","generation.hydro.run.of.river.and.poundage",872415
"55","2015-03","generation.hydro.water.reservoir",2289644
"56","2015-03","generation.marine",0
"57","2015-03","generation.nuclear",4969120
"58","2015-03","generation.other",55558
"59","2015-03","generation.other.renewable",49508
